Date,Actual,Forecast
2022-10-18,141.67672729492188,138.32436
2022-10-19,141.78512573242188,138.61224
2022-10-20,141.32192993164062,139.10648
2022-10-21,145.1459197998047,139.64432
2022-10-24,147.2944793701172,140.5506
2022-10-25,150.1427764892578,141.78813
2022-10-26,147.1959686279297,143.39287
2022-10-27,142.71156311035156,144.76042
2022-10-28,153.4937744140625,145.42412
2022-10-31,151.12840270996094,146.70976
2022-11-01,148.47720336914062,147.91396
2022-11-02,142.93826293945312,148.70895
2022-11-03,136.876953125,148.6281
2022-11-04,136.61038208007812,147.42993
2022-11-07,137.14352416992188,145.65912
2022-11-08,137.71607971191406,143.73352
2022-11-09,133.14527893066406,141.93416
2022-11-10,144.99185180664062,139.91777
2022-11-11,147.78564453125,139.18622
2022-11-14,146.38381958007812,139.50623
2022-11-15,148.12130737304688,140.31865
2022-11-16,146.88726806640625,141.57555
2022-11-17,148.7926025390625,142.86566
2022-11-18,149.3553009033203,144.26498
2022-11-21,146.11724853515625,145.64108
2022-11-22,148.25950622558594,146.53824
2022-11-23,149.1381378173828,147.29402
2022-11-25,146.2159881591797,147.95041
2022-11-28,142.37571716308594,148.17166
2022-11-29,139.36473083496094,147.7317
2022-11-30,146.13699340820312,146.64085
2022-12-01,146.4134063720703,145.94849
2022-12-02,145.91981506347656,145.52512
2022-12-05,144.7549285888672,145.26399
2022-12-06,141.0824737548828,145.02287
2022-12-07,139.13768005371094,144.45955
2022-12-08,140.82579040527344,143.58458
2022-12-09,140.34207153320312,142.77934
2022-12-12,142.64227294921875,142.0242
2022-12-13,143.60972595214844,141.60909
2022-12-14,141.37864685058594,141.52658
2022-12-15,134.75442504882812,141.43555
2022-12-16,132.78988647460938,140.70886
2022-12-19,130.67726135253906,139.51436
2022-12-20,130.608154296875,137.93497
2022-12-21,133.71788024902344,136.26569
2022-12-22,130.53904724121094,134.99963
2022-12-23,130.1737823486328,133.76389
2022-12-27,128.36717224121094,132.66246
2022-12-28,124.42820739746094,131.57637
2022-12-29,127.95253753662111,130.2319
2022-12-30,128.26846313476562,129.22781
2023-01-03,123.4706039428711,128.52928
2023-01-04,124.74412536621094,127.622986
2023-01-05,123.42125701904298,126.83797
2023-01-06,127.96239471435548,126.06004
2023-01-09,128.4856414794922,125.81056
2023-01-10,129.05824279785156,125.93501
2023-01-11,131.782958984375,126.34652
2023-01-12,131.7039794921875,127.17126
2023-01-13,133.0366973876953,128.15952
2023-01-17,134.2015838623047,129.29857
2023-01-18,133.48095703125,130.53502
2023-01-19,133.54017639160156,131.6405
2023-01-20,136.10691833496094,132.57234
2023-01-23,139.30551147460938,133.55736
2023-01-24,140.70733642578125,134.77678
2023-01-25,140.0458984375,136.14497
2023-01-26,142.1190643310547,137.40572
2023-01-27,144.06385803222656,138.69463
2023-01-30,141.17132568359375,140.05478
2023-01-31,142.44482421875,141.02274
2023-02-01,143.5702362060547,141.80325
2023-02-02,148.89132690429688,142.48569
2023-02-03,152.5242462158203,143.56319
2023-02-06,149.78970336914062,145.10678
2023-02-07,152.67234802246094,146.49408
2023-02-08,149.97723388671875,147.97563
2023-02-09,148.94070434570312,149.07036
2023-02-10,149.30650329589844,149.7331
2023-02-13,152.11448669433594,150.0991
2023-02-14,151.4718017578125,150.51735
2023-02-15,153.5777587890625,150.8291
2023-02-16,151.97605895996094,151.26527
2023-02-17,150.82916259765625,151.55194
2023-02-21,146.80506896972656,151.61578
2023-02-22,147.23020935058594,151.1295
2023-02-23,147.71469116210938,150.42255
2023-02-24,145.05503845214844,149.68114
2023-02-27,146.2513885498047,148.70857
2023-02-28,145.74713134765625,147.83165
2023-03-01,143.67080688476562,147.03398
2023-03-02,144.26406860351562,146.1588
2023-03-03,149.3262939453125,145.40164
2023-03-06,152.09471130371094,145.2991
2023-03-07,149.88986206054688,145.85652
2023-03-08,151.14552307128906,146.54102
2023-03-09,148.89125061035156,147.40263
2023-03-10,146.82481384277344,148.05695
2023-03-13,148.77261352539062,148.33107
2023-03-14,150.8686981201172,148.55443
2023-03-15,151.26417541503906,148.91345
2023-03-16,154.09193420410156,149.34288
2023-03-17,153.2515106201172,150.06367
2023-03-20,155.6244354248047,150.78844
2023-03-21,157.4832305908203,151.70178
2023-03-22,156.0496063232422,152.81477
2023-03-23,157.13717651367188,153.78288
2023-03-24,158.44229125976562,154.69415
2023-03-27,156.4945068359375,155.60225
2023-03-28,155.87161254882812,156.20325
2023-03-29,158.95643615722656,156.50558
2023-03-30,160.52847290039062,156.9096
2023-03-31,163.03981018066406,157.46329
2023-04-03,164.29550170898438,158.30107
2023-04-04,163.7615966796875,159.34302
2023-04-05,161.91268920898438,160.34738
2023-04-06,162.80252075195312,161.04547
2023-04-10,160.2021942138672,161.59264
2023-04-11,158.986083984375,161.70494
2023-04-12,158.29396057128906,161.42888
2023-04-13,163.6923828125,160.86914
2023-04-14,163.3463592529297,160.7465
2023-04-17,163.36611938476562,160.81242
2023-04-18,164.5921173095703,161.00172
2023-04-19,165.73902893066406,161.38235
2023-04-20,164.7700653076172,161.95526
2023-04-21,163.1584930419922,162.48312
2023-04-24,163.46499633789062,162.77628
2023-04-25,161.92259216308594,162.94203
2023-04-26,161.91268920898438,162.84384
2023-04-27,166.51023864746094,162.6022
2023-04-28,167.76589965820312,162.76945
2023-05-01,167.6769256591797,163.2571
2023-05-02,166.63876342773438,163.8818
2023-05-03,165.56103515625,164.43051
