Date,Actual,Forecast
2023-05-19,173.4236602783203,133.07031813507712
2023-05-22,172.47315979003906,133.1219954524354
2023-05-23,169.8592987060547,133.1736727699171
2023-05-24,170.1365509033203,133.22535008730142
2023-05-25,171.275146484375,133.27702740476255
2023-05-26,173.69093322753906,133.3287047221631
2023-05-30,175.5424346923828,133.38038203961145
2023-05-31,175.492919921875,133.43205935702207
2023-06-01,178.30477905273438,133.48373667446245
2023-06-02,179.15625,133.53541399187935
2023-06-05,177.79983520507812,133.5870913093148
2023-06-06,177.4334716796875,133.6387686267356
2023-06-07,176.05728149414062,133.69044594416795
2023-06-08,178.77999877929688,133.7421232615912
2023-06-09,179.16615295410156,133.79380057902162
2023-06-12,181.9680938720703,133.8454778964464
2023-06-13,181.49285888671875,133.89715521387564
2023-06-14,182.12649536132812,133.94883253130135
2023-06-15,184.1660919189453,134.00050984872985
2023-06-16,183.08688354492188,134.05218716615613
2023-06-20,183.17601013183594,134.10386448358415
2023-06-21,182.13641357421875,134.1555418010108
2023-06-22,185.14625549316406,134.20721911843853
2023-06-23,184.8294219970703,134.2588964358654
2023-06-26,183.43341064453125,134.31057375329297
2023-06-27,186.1957550048828,134.36225107072
